|    BACKEND    |  NITEMS  |   INSERT   |   SEARCH   |
|---------------|----------|------------|------------|
|       unsorted|        10|  2.0133e-05|   8.977e-06|
|       unsorted|       100|  0.00020507|   2.587e-05|
|       unsorted|      1000|    0.016251|  0.00020548|
|       unsorted|     10000|      1.5842|   0.0019249|
|       unsorted|    100000|         inf|    0.019733|
|       unsorted|   1000000|         inf|      0.2032|
|       unsorted|  10000000|         inf|      4.0455|
|         sorted|        10|  3.0708e-05|  1.2503e-05|
|         sorted|       100|  0.00043494|  4.9973e-05|
|         sorted|      1000|    0.031432|  0.00042745|
|         sorted|     10000|      2.9837|   0.0041911|
|         sorted|    100000|         inf|    0.045044|
|         sorted|   1000000|         inf|     0.45937|
|         sorted|  10000000|         inf|      6.2817|
|            bst|        10|  2.3261e-05|  1.5705e-05|
|            bst|       100|  0.00011963|  4.8552e-05|
|            bst|      1000|   0.0013648|  0.00039645|
|            bst|     10000|    0.039309|   0.0041288|
|            bst|    100000|     0.35842|    0.077478|
|            bst|   1000000|      2.9062|     0.42096|
|            bst|  10000000|      28.402|      5.6504|
|         rbtree|        10|  3.1399e-05|  1.4181e-05|
|         rbtree|       100|  0.00016448|  5.6454e-05|
|         rbtree|      1000|   0.0017335|  0.00047052|
|         rbtree|     10000|    0.039588|   0.0045024|
|         rbtree|    100000|     0.23317|    0.048582|
|         rbtree|   1000000|      3.3826|     0.53818|
|         rbtree|  10000000|      36.675|       6.022|
|          treap|        10|  2.8627e-05|  1.6129e-05|
|          treap|       100|  0.00013876|  5.0495e-05|
|          treap|      1000|   0.0012636|   0.0004023|
|          treap|     10000|    0.024032|   0.0041529|
|          treap|    100000|     0.36509|    0.067286|
|          treap|   1000000|      2.2286|     0.65587|
|          treap|  10000000|      27.667|      5.5122|
|      unordered|        10|  3.3707e-05|  1.8439e-05|
|      unordered|       100|  0.00012011|   6.661e-05|
|      unordered|      1000|   0.0010013|  0.00052431|
|      unordered|     10000|   0.0098198|   0.0051301|
|      unordered|    100000|     0.19624|    0.086906|
|      unordered|   1000000|      1.6611|     0.79715|
|      unordered|  10000000|      19.379|      7.1537|
|    chained-0.5|        10|  2.2941e-05|  1.7203e-05|
|    chained-0.5|       100|  9.3797e-05|  5.3289e-05|
|    chained-0.5|      1000|    0.010261|  0.00047226|
|    chained-0.5|     10000|    0.077011|   0.0043544|
|    chained-0.5|    100000|     0.60308|    0.057642|
|    chained-0.5|   1000000|      3.3725|     0.58568|
|    chained-0.5|  10000000|      48.294|      7.0944|
|   chained-0.75|        10|  2.4613e-05|  1.1964e-05|
|   chained-0.75|       100|  0.00010637|  5.5984e-05|
|   chained-0.75|      1000|   0.0027115|  0.00045051|
|   chained-0.75|     10000|     0.05526|    0.004394|
|   chained-0.75|    100000|     0.72186|    0.090588|
|   chained-0.75|   1000000|      3.6319|     0.52924|
|   chained-0.75|  10000000|       35.77|      5.7915|
|    chained-1.0|        10|  2.4313e-05|  1.4816e-05|
|    chained-1.0|       100|  0.00010288|  5.2114e-05|
|    chained-1.0|      1000|  0.00099846|   0.0004512|
|    chained-1.0|     10000|     0.05025|   0.0044669|
|    chained-1.0|    100000|     0.35907|    0.057607|
|    chained-1.0|   1000000|      3.0644|     0.92743|
|    chained-1.0|  10000000|      40.925|      6.9181|
|    chained-5.0|        10|  2.5226e-05|  1.2139e-05|
|    chained-5.0|       100|  9.8561e-05|  5.2848e-05|
|    chained-5.0|      1000|     0.00101|  0.00045487|
|    chained-5.0|     10000|    0.021179|   0.0045127|
|    chained-5.0|    100000|     0.33934|    0.086605|
|    chained-5.0|   1000000|       3.381|     0.51655|
|    chained-5.0|  10000000|      31.728|      5.5977|
|   chained-10.0|        10|  2.1578e-05|  1.6572e-05|
|   chained-10.0|       100|  0.00010425|  5.4422e-05|
|   chained-10.0|      1000|    0.001123|  0.00045457|
|   chained-10.0|     10000|    0.025129|   0.0044746|
|   chained-10.0|    100000|     0.41859|    0.045123|
|   chained-10.0|   1000000|      3.8682|     0.51031|
|   chained-10.0|  10000000|      35.004|      6.1769|
|  chained-100.0|        10|  2.4054e-05|  1.5509e-05|
|  chained-100.0|       100|  0.00010282|  5.2127e-05|
|  chained-100.0|      1000|   0.0011244|  0.00045978|
|  chained-100.0|     10000|    0.024877|   0.0043919|
|  chained-100.0|    100000|     0.29488|    0.084114|
|  chained-100.0|   1000000|      5.9902|     0.76505|
|  chained-100.0|  10000000|      52.596|      6.5703|
|       open-0.5|        10|  2.0022e-05|  1.3761e-05|
|       open-0.5|       100|  7.1857e-05|  6.3656e-05|
|       open-0.5|      1000|   0.0015279|  0.00052786|
